category,sub_category,rule_title,rule_description
Luggage Rules,Free Allowance,Sleeper Class Luggage,"Sleeper Class (SL) passengers are allowed 40 kg of luggage free of charge. Maximum limit with extra charge is 80 kg."
Luggage Rules,Free Allowance,Second Class / General Luggage,"Second Class (2S) and General (GN) passengers are allowed 35 kg of luggage free of charge. Maximum limit with extra charge is 70 kg."
Luggage Rules,Size Restrictions,Maximum Luggage Size,"Trunks, suitcases, and boxes exceeding 100 cm x 60 cm x 25 cm must be booked in the brake van. For AC 3-Tier and AC Chair Car, the size limit is 55 cm x 45 cm x 22.5 cm."
Luggage Rules,Prohibited Items,Prohibited Items in Trains,"Inflammable materials, explosive substances, dangerous articles including gas cylinders, acids, and corrosive substances are strictly prohibited on passenger trains. Carrying such items is a punishable offense under the Railways Act."
Chart Preparation,First Chart,First Reservation Chart,"The first reservation chart is typically prepared 8 to 10 hours before the scheduled departure of the train from its originating station."
Chart Preparation,Early Morning Trains,Chart for Early Trains,"For trains departing early in the morning (before 08:00 AM), the reservation chart is generally prepared the previous night."
Chart Preparation,Second Chart,Second Reservation Chart,"A second reservation chart is prepared 30 minutes to a few hours before the train's departure to allocate unutilized berths, accommodate last-minute changes, and confirm RAC/waitlisted passengers."
RAC and Waitlist,Waitlist Rules,Fully Waitlisted E-Ticket Boarding Ban,"If all passengers on an e-ticket remain in waitlist status after final chart preparation, the ticket is automatically cancelled. Passengers are NOT allowed to board the train with a fully waitlisted e-ticket. Doing so will result in being treated as a ticketless traveler with applicable fine."
RAC and Waitlist,RAC Rules,RAC Ticket Boarding Rules,"RAC (Reservation Against Cancellation) ticket guarantees you can board the train but does not ensure a full berth. You will be allotted a seat to share with another RAC passenger. RAC passengers are upgraded to confirmed berths as cancellations occur."
RAC and Waitlist,Partially Confirmed,Partially Confirmed PNR,"If at least one passenger on the same PNR has a confirmed or RAC status, the entire ticket remains valid and all passengers (including those still on the waitlist) are permitted to board the train."
ID Proof Requirements,Valid ID Proofs,Accepted Identity Documents,"At least one passenger booked on a reserved ticket must carry an original government-issued photo ID during the journey. Valid documents include: Aadhaar Card (including e-Aadhaar/m-Aadhaar), Passport, Voter ID, Driving License, PAN Card, Photo ID issued by Central/State Government, Student ID with photograph, Nationalized Bank Passbook with photograph, Credit Card with laminated photograph, and Photo ID cards issued by PSUs or Municipal bodies."
ID Proof Requirements,Consequence,No ID Proof Penalty,"Failure to produce a valid original ID proof during the journey when asked by the TTE will result in the passenger being treated as traveling without a valid ticket. Applicable fines and penalties will be levied."
Concessions,Senior Citizens,Senior Citizen Concession Status,"Senior citizen concessions (formerly 40% for men aged 60+ and 50% for women aged 58+) were suspended in March 2020 and have not been reinstated as of 2025. However, senior citizens are still eligible for automatic allotment of lower berths subject to availability."
Concessions,Students,Student Concession Rules,"Concessions are available for students participating in tournaments recognized by schools or universities, and for other specific educational purposes. Detailed rules are in the IRCA Coaching Tariff. Requires valid student ID and authorization letter."
Concessions,Freedom Fighters,Freedom Fighter Concession,"Concessions for recognized freedom fighters are governed by official railway policy. Requires specific documentation issued by the Ministry of Home Affairs."
Concessions,Persons with Disabilities,Disability Concession,"Persons with disabilities (blindness, orthopedic disability, mental retardation, deaf-mute) are eligible for 50% to 75% concession depending on the type of disability. Requires disability certificate from a government hospital."
Station Amenities,Waiting Room,Waiting Room Rules,"Waiting rooms are for bona fide passengers with a valid ticket. Access is often restricted by class of travel (AC or non-AC). Passengers may access waiting rooms up to 3 hours before train departure or after arrival. Registration in the waiting room register may be required."
Station Amenities,Retiring Room,Retiring Room Booking Rules,"Only passengers with a confirmed or RAC ticket (valid PNR) can book retiring rooms. Rooms can be booked for a minimum of 3 hours and maximum of 48 hours. Booking is available online via IRCTC website or mobile app. A valid government-issued ID is required at check-in."
Station Amenities,Cloak Room,Cloak Room Rules,"Cloakrooms are available for passengers with a valid journey ticket at the boarding or destination station. Luggage can be stored for a minimum of 3 hours and up to 30 days (varies by station). Luggage must be securely locked and tagged. Always retain the deposit receipt."
Station Amenities,Catering,Food and Catering Rules,"Catering services are managed by IRCTC through onboard pantry cars and static units (food plazas, stalls). Meals must meet FSSAI hygiene standards. Passengers can order food via the e-catering portal (ecatering.irctc.co.in). Complaints can be reported via the 138 helpline or @IRCATERING on Twitter."
Station Amenities,Catering,Vande Bharat Meal Policy,"On Vande Bharat Express and certain premium trains, passengers who have opted for meals are entitled to complimentary food if the train is significantly delayed (2 hours or more)."
Penalties and Fines,Ticketless Travel,Penalty for Ticketless Travel,"Traveling without a valid ticket or with an improper ticket is an offense under the Railways Act, 1989. The penalty includes the fare for the distance traveled plus an additional charge (excess charge) which varies by class."
Penalties and Fines,Unauthorized Boarding,Fine for WL Passengers in Reserved Coaches,"Passengers with waitlisted tickets (both online and offline) are not permitted to board reserved coaches (AC or Sleeper). Fine of Rs.440 for AC coaches and Rs.250 for Sleeper coaches, plus the applicable fare."
Penalties and Fines,Chain Pulling,Penalty for Unauthorized Chain Pulling,"Pulling the alarm chain without valid reason is a punishable offense under Section 141 of the Railways Act. Penalty can include imprisonment up to one year or fine up to Rs.1000 or both."
Penalties and Fines,Smoking,No Smoking Policy,"Smoking is strictly prohibited in all air-conditioned coaches, waiting rooms, and enclosed areas of railway stations. Violation can attract a fine of Rs.200 under the Railways Act."
Railway Department Roles,Station Master (SM),Station Master Responsibilities,"The Station Master is the primary executive in charge of a railway station. They are the only authority permitted to grant Line Clear or authorize a train's departure/arrival. They manage signal clearances and ensure smooth, punctual train movement. They supervise all station staff (porters, pointsmen, etc.) and are responsible for station discipline and cleanliness. They must ensure all signals, points, and station machinery are in proper working order and compliant with the General Rules (G&SR) and Station Working Rules (SWR). They conduct regular inspections of cabins, signals, level crossing gates, and the station yard."
Railway Department Roles,Station Master (SM),Station Master Governing Rules,"Station Masters operate under the General Rules (G&SR) of Indian Railways and specific Station Working Rules (SWR) applicable to their station."
Railway Department Roles,Travelling Ticket Examiner (TTE),TTE Responsibilities,"The TTE is a commercial department official responsible for: Verifying that all passengers hold valid tickets and travel in their designated berths/seats. Issuing Excess Fare Tickets (EFTs) and collecting fines from ticketless or improperly ticketed travelers. Allocating vacant berths to RAC and waitlisted passengers. Addressing passenger complaints regarding amenities. Maintaining records of passengers and earnings. Ensuring decorum, cleanliness, and adherence to train rules (such as locking vestibule doors at night for safety). Reporting daily activities to the Station Master or Control Office."
Railway Department Roles,Travelling Ticket Examiner (TTE),TTE Governing Rules,"TTEs follow the commercial duty lists issued by the Railway Board, which are subject to periodic updates."
Railway Department Roles,Railway Protection Force (RPF),RPF Responsibilities,"The RPF is an armed force of the Union tasked with: Protecting railway property from theft or vandalism. Ensuring passenger safety by escorting trains, patrolling platforms, and maintaining law and order. Investigating and prosecuting offenders under the Railways Act (1989) and the Railway Property (Unlawful Possession) Act (1966). Preventing human trafficking (especially of women and children). Providing aid to vulnerable individuals found on railway premises."
Railway Department Roles,Railway Protection Force (RPF),RPF Legal Authority,"The RPF has legal authority to arrest, investigate, and prosecute offenders. They operate under the RPF Act, 1957, and are empowered to enforce security and safety regulations across the entire railway jurisdiction."
Railway Department Roles,Government Railway Police (GRP),GRP vs RPF,"The Government Railway Police (GRP) is a state police force that handles criminal matters on railway premises. Unlike the RPF which protects railway property, the GRP deals with crimes against passengers such as theft, robbery, assault, and murder. Both work in coordination for overall railway security."
Railway Department Roles,Guard,Train Guard Responsibilities,"The Guard is in charge of the train during its journey. Responsible for ensuring the safe running of the train, maintaining the train's schedule, managing emergencies en route, checking brakes, coordinating with the driver and station masters, and maintaining the train journal. The Guard gives the all-clear signal for the train to depart."
Railway Department Roles,Loco Pilot (Driver),Loco Pilot Responsibilities,"The Loco Pilot (Train Driver) operates the locomotive. Responsible for driving the train safely at prescribed speeds, observing all signals, maintaining alertness, checking locomotive condition before departure, reporting any mechanical issues, and following speed restrictions in curves, bridges, and construction zones. Must pass periodic medical and competency tests."
Railway Department Roles,Track Maintainer (Gangman),Track Maintainer Responsibilities,"Track Maintainers (formerly called Gangmen) are responsible for the inspection, maintenance, and repair of railway tracks. They patrol assigned track sections daily, check for rail fractures, loose fittings, alignment issues, and ensure drainage. They report any unsafe conditions to the section engineer."
Railway Zones,Zone Information,Indian Railway Zones,"Indian Railways is divided into 18 zones: Central Railway (CR), East Central Railway (ECR), East Coast Railway (ECoR), Eastern Railway (ER), Metro Railway Kolkata, North Central Railway (NCR), North Eastern Railway (NER), North Western Railway (NWR), Northeast Frontier Railway (NFR), Northern Railway (NR), South Central Railway (SCR), South East Central Railway (SECR), South Eastern Railway (SER), South Western Railway (SWR), Southern Railway (SR), West Central Railway (WCR), Western Railway (WR), and Konkan Railway (KR)."
Railway Zones,Headquarters,Zone Headquarters,"Each railway zone has its own headquarters: CR-Mumbai, ECR-Hajipur, ECoR-Bhubaneswar, ER-Kolkata, NCR-Prayagraj, NER-Gorakhpur, NWR-Jaipur, NFR-Maligaon/Guwahati, NR-New Delhi, SCR-Secunderabad, SECR-Bilaspur, SER-Kolkata, SWR-Hubli, SR-Chennai, WCR-Jabalpur, WR-Mumbai."
General Rules,Boarding,Boarding and Alighting Rules,"Passengers must board and alight from trains only when the train is at a complete standstill and at the platform side. Attempting to board or alight from a moving train is dangerous and a punishable offense under the Railways Act."
General Rules,Emergency,Emergency Helpline Numbers,"Railway emergency helpline: 139 (for security, medical emergency, cleanliness, or any other complaints). Rail Madad portal and app for registering complaints. Women helpline on trains: 182. RPF helpline: 1800-111-322 (toll-free)."
General Rules,Children,Children Ticket Rules,"Children below 5 years of age travel free on Indian Railways without a separate berth or seat. Children aged 5-12 years are charged approximately half the adult fare and are allotted a seat/berth. Children above 12 years are charged full fare."
General Rules,Pets,Pet Travel Rules,"Pets (dogs/cats) can be carried in First AC (1A) or First Class (FC) by booking the entire cabin/coupe. Small pets may be carried in baskets in some coaches with prior permission. Booking is facilitated through the Indian Railways parcel website. Guide dogs for visually impaired passengers are allowed in all classes."
Cancellation and Refund,Clerkage Charges,Confirmed Ticket Clerkage Charges by Class,"Clerkage (flat cancellation) charges per passenger for confirmed tickets: 1A/EC: Rs.240, 2A: Rs.200, 3A: Rs.180, CC: Rs.180, FC: Rs.200, SL: Rs.120, 2S: Rs.60. GST is additionally applicable for AC classes."
Cancellation and Refund,Clerkage Charges,RAC and WL Ticket Clerkage Charges,"Clerkage charges per passenger for RAC and Waitlisted tickets are a flat Rs.60 for all classes (1A/EC, 2A, 3A, CC, FC, SL, 2S)."
Cancellation and Refund,Cancellation Timeline,Cancel 48+ Hours Before Departure,"If a confirmed ticket is cancelled more than 48 hours before the scheduled departure of the train, the passenger receives a full refund minus the flat clerkage charges applicable for the class."
Cancellation and Refund,Cancellation Timeline,Cancel 12 to 48 Hours Before Departure,"If a confirmed ticket is cancelled between 12 hours and 48 hours before departure, 25% of the base fare or the clerkage charges (whichever is higher) is deducted from the refund."
Cancellation and Refund,Cancellation Timeline,Cancel 4 to 12 Hours Before Departure,"If a confirmed ticket is cancelled between 4 hours and 12 hours before departure, 50% of the base fare or the clerkage charges (whichever is higher) is deducted from the refund."
Cancellation and Refund,Cancellation Timeline,Cancel After Charting - No Refund,"If a confirmed ticket is not cancelled before chart preparation, no refund is admissible. For trains with early morning departure, charting is done 6 to 8 hours before departure."
Cancellation and Refund,Special Refund Cases,Train Cancelled - Auto Full Refund,"If Indian Railways cancels a train, all passengers automatically receive a full refund without any deduction. No TDR or manual action required."
Cancellation and Refund,Special Refund Cases,Train Late More Than 3 Hours,"If a train is running late by more than 3 hours, passengers can file a TDR (Ticket Deposit Receipt) before the departure of the train from charting station for a full refund."
Cancellation and Refund,Special Refund Cases,AC Not Working Refund,"If the AC system in a coach is not functioning, passengers are entitled to a refund of the difference in fare between the AC class and the corresponding non-AC class."
Cancellation and Refund,Special Refund Cases,Train Diverted Refund,"If a train is diverted from its original route and the passenger's destination is not covered, the passenger can file a TDR within 72 hours for a full refund."
Cancellation and Refund,Special Refund Cases,Seat Given in Lower Class Refund,"If a passenger holding a higher class ticket is accommodated in a lower class, they are entitled to a refund of the difference in fare between the two classes."
Cancellation and Refund,Special Refund Cases,Seat Not Provided - Full Refund,"If a seat or berth is not provided to a passenger despite having a confirmed ticket, the passenger is entitled to a full refund."
Cancellation and Refund,TDR,TDR Filing Rules,"TDR (Ticket Deposit Receipt) is filed online through the IRCTC website or app when the normal cancellation window has passed. The e-ticket TDR refund process takes at least 90 days. For PRS counter tickets, TDR can be filed at the station and refund is processed to the counter of origin."
Cancellation and Refund,Not Cancelled Before Departure,Cancel 30 Min Before Departure - Uncharted,"If a ticket is not cancelled but the passenger does not travel, and cancellation is done up to 30 minutes before the train's departure (before charting), a full refund less clerkage charges is given."
PNR Status,GNWL,General Waiting List (GNWL),"GNWL (General Waiting List) is issued when you book from the train's starting station or a major station near the origin. This is the most common type and has the highest priority for confirmation among all waiting list types."
PNR Status,RLWL,Remote Location Waiting List (RLWL),"RLWL (Remote Location Waiting List) is issued for intermediate stations that are important stops along the route. These stations have a smaller fixed quota of seats, so confirmation chances are lower than GNWL."
PNR Status,PQWL,Pooled Quota Waiting List (PQWL),"PQWL (Pooled Quota Waiting List) is issued for passengers traveling between intermediate stations (often shorter distances). It has a very limited pool of seats and lower confirmation chances compared to GNWL."
PNR Status,TQWL,Tatkal Waiting List (TQWL),"TQWL (Tatkal Waiting List) is issued when booking under the Tatkal quota. It has the lowest priority for confirmation. If not confirmed by chart preparation, the ticket is automatically cancelled and refunded."
PNR Status,RSWL,Roadside Station Waiting List (RSWL),"RSWL (Roadside Station Waiting List) is issued for journeys from the originating station to a roadside station or between small intermediate stations. It has very low confirmation chances as it relies on small specific quotas."
PNR Status,Confirmation Priority,Waitlist Confirmation Priority Order,"The order of priority for waitlist confirmation is: GNWL (highest) > RLWL (moderate) > PQWL (low) > TQWL (very low) > RSWL (lowest). RAC has higher priority than any waiting list type."
PNR Status,Charting Effect,Effect of Charting on Waitlist,"After the final reservation chart is prepared, any remaining waitlisted e-tickets are automatically cancelled and refunded. Passengers cannot board the train with a fully waitlisted e-ticket. However, if at least one passenger on the same PNR has confirmed or RAC status, all passengers on that PNR can board."
Missed Train Rules,Confirmed Ticket,Missed Train with Confirmed Ticket,"If you miss your train with a confirmed ticket, there is no automatic refund. You must file a TDR (Ticket Deposit Receipt) online through the IRCTC website or app. Filing a TDR does not guarantee a refund — Indian Railways reviews each request. You cannot use the existing ticket to board another train; a new ticket must be purchased."
Missed Train Rules,RAC Ticket,Missed Train with RAC Ticket,"If you miss your train with an RAC ticket, similar rules apply as confirmed tickets. You must file a TDR. The chances of refund approval may depend on the specific circumstances of the case."
Missed Train Rules,WL Ticket,Missed Train with WL Ticket,"If your ticket is still waitlisted and you miss the train, the e-ticket would have been auto-cancelled after charting anyway. The refund is processed automatically minus clerkage charges."
Missed Train Rules,Connecting Train,Missed Connecting Train Due to Delay,"If you have a single PNR for a connecting journey and you miss the second connecting train because the first train was late, you may be eligible for a refund for the untraveled portion. Surrender your ticket at the station or file a TDR."
Train Fare Types,General Fare,Standard Railway Fare,"Standard fixed fare applies to most Mail/Express trains. The fare is calculated based on distance, class of travel, and train type. Fare includes base fare plus reservation charge, superfast charge (if applicable), and GST for AC classes."
Train Fare Types,Tatkal Fare,Tatkal Extra Charges,"Tatkal tickets carry additional premium charges over the base fare. The tatkal charges are a fixed percentage of the base fare: AC classes: 10% to 30% of base fare (minimum Rs.90, maximum Rs.500). Sleeper: 10% to 30% (minimum Rs.90, maximum Rs.200)."
Train Fare Types,Premium Tatkal,Premium Tatkal Dynamic Pricing,"Premium Tatkal uses dynamic pricing where fares increase based on demand. Only available through IRCTC website/app (not agents or counters). Only confirmed tickets are issued — no RAC or waitlist. Generally non-refundable."
Train Fare Types,Dynamic Fare,Flexi/Dynamic Fare System,"Dynamic/Flexi fare applies to premium trains like Rajdhani, Shatabdi, Duronto, Vande Bharat, and Tejas. The base fare increases by 10% incrementally as seats are sold, up to a predetermined ceiling (typically 1.5x the base fare). Sleeper class and lower classes are exempted from dynamic pricing."
Train Fare Types,Suvidha Trains,Suvidha Train Fare Rules,"Suvidha trains are special trains with market-linked dynamic pricing. Fares start at a higher base and increase with demand. Available only during festival/peak seasons. No concessions or passes are accepted."
Train Fare Types,Suburban Fare,Suburban Fare Rules,"Suburban trains (local trains) operate on a separate fare structure with nominal pricing. Season tickets (monthly/quarterly passes) are available at heavily discounted rates. No fare increase was applied to suburban services in the 2025 fare rationalization."
Ticket Booking Types,General Reservation,General Reservation Process,"General reservation tickets can be booked up to 60 days in advance online via IRCTC or at PRS counters. Online booking opens at 08:00 AM IST. Counter booking hours vary by station. Multiple passengers can be booked on a single PNR (up to 6 passengers per PNR for online booking)."
Ticket Booking Types,Ladies Reservation,Ladies Quota Booking Rules,"Ladies Quota (LD) berths are earmarked in Sleeper Class (SL) and Second Sitting (2S) coaches on many long-distance Mail/Express trains. Available for women of all ages traveling alone or with children. Male family members can travel in the same coach if booked together on the same PNR."
Ticket Booking Types,Senior Citizen Reservation,Senior Citizen Booking Rules,"Senior citizens (men 60+ and women 58+) can book under the Senior Citizen/Lower Berth quota (SS). This provides automatic allotment of lower berths subject to availability. The former fare concession (40% for men, 50% for women) was suspended in March 2020 and has not been reinstated as of 2026."
Ticket Booking Types,Student Reservation,Student Concession Booking,"Students can avail fare concessions for travel between hometown and place of education (during vacations), attending government-organized camps/seminars, and appearing in competitive exams (UPSC, SSC). Requires bonafide certificate from recognized institution. Applicable for students up to age 25. Must be processed at PRS counters."
Ticket Booking Types,Foreign Tourist,Foreign Tourist Ticket Booking,"Foreign tourists and NRIs with valid passports can book under Foreign Tourist Quota (FTQ). Booking available up to 365 days in advance. Passport number and nationality required at booking. Original passport and valid visa must be carried during journey. Failure to produce documents attracts penalty equivalent to 3x the fare. Payment accepted via international debit/credit cards."
Ticket Booking Types,Boarding Point Change,Boarding Point Change Rules,"Passengers with confirmed or RAC tickets can change their boarding station up to 30 minutes before the scheduled departure. Can be done online (IRCTC) or at PRS counters. Change allowed only once. Not available for VIKALP, current booking, or I-Tickets. Once changed, original boarding point right is forfeited."
Ticket Booking Types,Circular Ticket,Circular Journey Ticket Rules,"Circular journey tickets allow a passenger to travel on a round trip visiting multiple stations. The ticket is issued at PRS counters for a planned itinerary. Valid for the specified route only. Break of journey is allowed at intermediate stations as per the itinerary."
Ticket Booking Types,UTS,Unreserved Ticketing System Rules,"UTS mobile app allows booking of unreserved (general class) tickets. Tickets can also be purchased at station counters or via ATVM machines. Important: Booking via UTS app inside railway station premises is not permitted — tickets must be purchased before entering the station area."
Ticket Booking Types,Money Paid Ticket Not Booked,Payment Deducted But Ticket Not Booked,"If money is deducted from your account but the ticket is not booked, the amount is automatically refunded to the source account within 5-7 working days. If not refunded, file a complaint through the IRCTC customer care or RailMadad portal. Do not attempt to rebook immediately as this may result in double deduction."
While on Train,Running Status,Check Train Running Status,"Passengers can check live train running status through: NTES (National Train Enquiry System) at enquiry.indianrail.gov.in, erail.in, the RailOne app, or by calling the 139 helpline. SMS-based enquiry is also available by sending SPOT <train_number> to 139."
While on Train,Coach Cleaning,Coach Cleaning Request Process,"Passengers can request coach cleaning by sending SMS to 58888 with format: CLEAN <10-digit PNR>. Can also be raised through the RailMadad app or portal. Request is forwarded to On Board Housekeeping Service (OBHS) staff for immediate action."
While on Train,Complaint to TTE,How to Complain to TTE,"If facing issues during the journey (unauthorized occupants, berth disputes, cleanliness, missing amenities), approach the TTE (Travelling Ticket Examiner) of your coach. If the TTE is unresponsive, note their name/badge number and file a complaint through RailMadad app or call 139."
While on Train,Complaint Via Twitter,Social Media Complaint Process,"Passengers can tweet complaints to @RailMinIndia or @RailwaySeva on Twitter/X for quick response. Include PNR number, coach number, and train details. For food-related complaints, tag @IRCATERING. Response time is typically within 30-60 minutes during working hours."
While on Train,Medical Emergency,Medical Emergency on Train,"For medical emergencies on train, dial 138 (medical helpline) or 139 (general helpline). Inform the TTE or any onboard staff immediately. Staff can access the Doctor Onboard list, provide first aid from the medical box, or coordinate with the next station to arrange a medical team or ambulance."
While on Train,Safety,Safety Rules While Traveling,"Do not travel on footboard or roof of trains. Do not lean out of windows or doors. Keep luggage under your seat or on designated racks. Lock your bags securely, especially at night. Do not accept food or drinks from strangers. Do not pull the alarm chain without valid reason."
